Nom du Produit,Prix,Spécifications
"Samsung Galaxy A05 - 6.7"" - 4GB + 128GB - Noir",1259.0,"6,7"" Écran HD+ Caméra principale 50MP Processeur octa-cœur Batterie de 5 000 mAh (typique) Taille de la RAM (Go) 4 Capacité de stockage 128"
"Samsung Galaxy A05 - 6.7"" - 4GB + 128GB - Vert clair",1259.0,"6,7"" Écran HD+ Caméra principale 50MP Processeur octa-cœur Batterie de 5 000 mAh (typique) Taille de la RAM (Go) 4 Capacité de stockage 128"
"Samsung Galaxy A05 - 6.7"" - 4G + 64GB - Noir",1149.0,"6,7"" Écra1n HD+ Caméra principale 50MP Processeur octa-cœur Batterie de 5 000 mAh (typique) Taille de la RAM (Go) 4 Capacité de stockage (Go) 64"
Infinix HOT 40I - 4+4 GB RAM + 128 GB ROM - Gold,1370.0,"Type de produit : Smartphone Modèle : HOT 40i  Processeur : Unisoc T606 Écran  90 HZ 6.5"" HD + Affichage très lumineux Résolution : 720*1612 Caméra : 50MP Mémoire ROM : 128 GB  Mémoire RAM : 4+4 GB  Batterie 5000mAh  Empreinte digitale Oui Connectivité GPS, Wifi, BT"
Samsung Galaxy A15 - 8G + 256GB - Noir,2188.0,"RAM: 8G ROM: 256GB Taille de l'écran: 6.5"" Caractéristique de la batterie: 5 000 mAh"
Infinix HOT 40I - 4+4 GB RAM + 128 GB ROM - Black,1370.0,"Type de produit : Smartphone Modèle : HOT 40i  Processeur : Unisoc T606 Écran  90 HZ 6.5"" HD + Affichage très lumineux Résolution : 720*1612 Caméra : 50MP Mémoire ROM : 128 GB  Mémoire RAM: 4+4 GB  Batterie 5000mAh  Empreinte digitale Oui Connectivité GPS, Wifi, BT"
Samsung Galaxy A15 - 4G + 128GB - Noir,1699.0,"RAM: 4G ROM: 128GB Taille de l'écran: 6.5"" Caractéristique de la batterie: 5 000 mAh"
"XIAOMI REDMI NOTE 13 – 6.67""- 8GB+128GB – ICE BLUE",2334.0,"Processeur : Snapdragon® 685 Stockage et RAM : 8 Go + 128 Go Écran AMOLED 6,67"" Triple appareil photo 108 MP + 8 MP + 2 MP Batterie et charge : 5 000 mAh Système d'exploitation : MIUI 14 Réseaux sans fil : Bluetooth 5.1"
Infinix HOT 40I - 4+4 GB RAM + 128 GB ROM - Bleu,1370.0,"Type de produit : Smartphone Modèle : HOT 40i  Processeur : Unisoc T606 Écran  90 HZ 6.5"" HD + Affichage très lumineux Résolution : 720*1612 Caméra : 50MP Mémoire ROM : 128 GB  Mémoire RAM: 4+4 GB  Batterie 5000mAh  Empreinte digitale Oui Connectivité GPS, Wifi, BT"
"Samsung Galaxy A05 - 6.7"" - 4G + 64GB - Vert",1149.0,"6,7"" Écra1n HD+ Caméra principale 50MP Processeur octa-cœur Batterie de 5 000 mAh (typique) Taille de la RAM (Go) 4 Capacité de stockage (Go) 64"
Samsung Galaxy A15 - 4G + 128GB - Bleu,1699.0,"RAM: 4G ROM: 128GB Taille de l'écran: 6.5"" Caractéristique de la batterie: 5 000 mAh"
"XIAOMI REDMI NOTE 13 – 6.67""- 8GB+256GB - ICE BLUE",2549.0,"Processeur : Snapdragon® 685 Stockage et RAM : 8 Go + 256 Go Écran AMOLED 6,67"" Triple appareil photo 108 MP + 8 MP + 2 MP Batterie et charge : 5 000 mAh Système d'exploitation : MIUI 14 Réseaux sans fil : Bluetooth 5.1"
"Samsung Galaxy M13 - 6.6"" - 4GB RAM + 128GB ROM – 50Mpx – Light Blue",1475.0,Processeur 2GHz Poids (g) 192 Durée Lecture Audio (heures) Jusqu'à 90 Type de CPU Octa-Core RAM: 4GB ROM: 128GB
"Samsung Galaxy A05 - 6.7"" - 4G + 64GB - Silver",1149.0,"6,7"" Écra1n HD+ Caméra principale 50MP Processeur octa-cœur Batterie de 5 000 mAh (typique) Taille de la RAM (Go) 4 Capacité de stockage (Go) 64"
"XIAOMI REDMI NOTE 13 PRO – 6.67""- 12GB + 512GB – MIDNIGHT BLACK",3978.0,"Processeur : Processeur MediaTek Helio G99-Ultra Stockage et RAM : 12 Go + 512 Go Écran AMOLED 6,67"" Triple appareil photo 200 MP + 8 MP + 2 MP Batterie et charge : 5 000 mAh Système d'exploitation : MIUI 14 Réseaux sans fil : Bluetooth 5.2"
"Samsung Galaxy M13 - 6.6"" - 4GB RAM + 128GB ROM – 50Mpx – Deep Green",1475.0,Processeur 2GHz Poids (g) 192 Durée Lecture Audio (heures) Jusqu'à 90 Type de CPU Octa-Core RAM: 4GB ROM: 128GB
"Samsung A05s - 6,7"" - 6GB+128GB - Silver",1729.0,"RAM: 6GB ROM: 128GB Taille de l'écran: 6,7"" Caractéristique de la batterie: 5 000 mAh"
"Samsung A05s - 6,7"" - 6GB+128GB - Noir",1729.0,"RAM: 6GB ROM: 128GB Taille de l'écran: 6,7"" Caractéristique de la batterie: 5 000 mAh"
"Samsung A05s - 6,7"" - 6GB+128GB - Mauve",1729.0,"RAM: 6GB ROM: 128GB Taille de l'écran: 6,7"" Caractéristique de la batterie: 5 000 mAh"
"Infinix Note 40 pro - 6.78"" - 24GB (12+12GB) RAM + 256GB ROM - Vert",3339.0,"FastCharge2.0 complet 70 W + MagCharge sans fil 20 W* Écran AMOLED 120 Hz incurvé en 3D 6.78"" Empreinte digitale à l'écran Caméra super zoom OIS 108 MP Helio G99 Ultimate Deux haut-parleurs avec son de JBL Verre Corning® Gorilla® résistant aux chutes et aux rayures^ RAM: 24GB (12+12GB) ROM: 256GB"
"Samsung Galaxy M13 - 6.6"" - 4GB RAM + 128GB ROM - 50Mpx - Orange copper",1475.0,Processeur 2GHz Poids (g) 192 Durée Lecture Audio (heures) Jusqu'à 90 Type de CPU Octa-Core RAM: 4GB ROM: 128GB
"XIAOMI REDMI NOTE 13 – 6.67""- 8GB+256GB - MINT GREEN",2549.0,"Processeur : Snapdragon® 685 Stockage et RAM : 8 Go + 256 Go Écran AMOLED 6,67"" Triple appareil photo 108 MP + 8 MP + 2 MP Batterie et charge : 5 000 mAh Système d'exploitation : MIUI 14 Réseaux sans fil : Bluetooth 5.1"
"Apple iPhone 13 128GB Lumière Stellaire 6,1"" Starlight 5G A15 IOS Cinematique 4Gb RAM",7675.0,"Écran Super Retina XDR 6,1"" pouces Mode Cinématique, qui réduit la profondeur de champ et change automatiquement la mise au point dans vos vidéos Puce A15 Bionic pour des performances fulgurantes 5G Pour Une Connectivité Tres Rapide Technologie De Magsafe Design résistant avec Ceramic Shield"
Infinix HOT 40I - 8+8 GB RAM + 256 GB ROM - Bleu,1629.0,"Type de produit : Smartphone Modèle : HOT 40i  Processeur : Unisoc T606 Écran  90 HZ 6.5"" HD + Affichage très lumineux Résolution : 720*1612 Caméra : 50MP Mémoire ROM: 256GB  Mémoire RAM: 8+8 GB  Batterie 5000mAh  Empreinte digitale Oui Connectivité GPS, Wifi, BT"
"Nokia 105 (2019) 1.77"" (4Mo, 4Mo) Dual SIM - Noir",199.0,"Type TFT, 65K couleurs Ecran : 1.77"" SIM :Dual SIM Résolution :120 x 160 pixels RAM : 4Mo ROM : 4Mo"
"XIAOMI Redmi Note 13 Pro+ 5G - 6.67"" – 8 GB RAM – 256 GB ROM – MOONLIGHT WHITE",4805.0,"MediaTek Dimensité 7200-Ultra 8+256 Go Écran AMOLED CrystalRes de 6,67 pouces Double SIM (nano SIM + nano SIM ou nano SIM + eSIM) Appareil photo 16MP Enregistrement vidéo de la caméra frontale"
"Samsung Galaxy A25 - 6.3"" 8GB+256GB - Bleu",3099.0,"Taille : 6.3"" Résolution (Ecran principal) : 1080 x 2340 (FHD+) Technologie (Ecran principal) : Super AMOLED Résolution caméra arrière (Multiple) : 50.0 MP + 8.0 MP + 2.0 MP Résolution caméra frontale : 13.0 MP Mémoire (Go) : 8 Go Stockage (Go) : 256 Go Système d'exploitation : Android Capacité de la batterie (mAh, Typique) : 5000"
"Infinix Note 40 - 6.78"" - 16GB( 8+8GB) RAM + 256GB ROM - Noir",2800.0,"FastCharge2.0 polyvalent 45 W + MagCharge sans fil 20 W* Écran AMOLED 120 Hz 6.78"" Empreinte digitale à l'écran Caméra super zoom 108 MP Helio G99 Ultimat Conception d’affichage ultra immersive sans cadre Deux haut-parleurs avec son de JBL 16GB( 8+8GB) RAM 256GB ROM"
Samsung Galaxy A15 - 8G + 256GB - Jaune,2188.0,"RAM: 8G ROM: 256GB Taille de l'écran: 6.5"" Caractéristique de la batterie: 5 000 mAh"
Infinix HOT 40I - 8+8 GB RAM + 256 GB ROM - Gold,1629.0,"Type de produit : Smartphone Modèle : HOT 40i  Processeur : Unisoc T606 Écran  90 HZ 6.5"" HD + Affichage très lumineux Résolution : 720*1612 Caméra : 50MP Mémoire ROM : 256 GB  Mémoire RAM : 8+8 GB  Batterie 5000mAh  Empreinte digitale Oui Connectivité GPS, Wifi, BT"
"Apple iPhone 13 128GB Vert 6,1"" Green 5G A15 IOS Mode Cinematique 4Gb RAM Garantie 1an",8475.0,"Écran Super Retina XDR 6,1"" pouces Mode Cinématique, qui réduit la profondeur de champ et change automatiquement la mise au point dans vos vidéos Puce A15 Bionic pour des performances fulgurantes 5G Pour Une Connectivité Tres Rapide Technologie De Magsafe Design résistant avec Ceramic Shield"
"Apple iPhone 14 128GB Mauve 6,1"" Purple A15 IOS Mode Action & SOS 6Gb RAM 4K Garantie",9475.0,"Écran Super Retina XDR 6,1 pouces Système photo avancé pour des photos brillantes, quel que soit l’éclairage Mode Cinématique, désormais en 4K Dolby Vision jusqu’à 30 i/s Mode Action, pour des vidéos stables et fluides lorsque vous êtes en mouvement Détection des accidents, une technologie de sécurité vitale qui appelle les secours pour vous Autonomie d’une journée entière et jusqu’à 20 heures de lecture vidéo Puce A15 Bionic avec GPU 5 cœurs, pour des performances fulgurantes. Connectivité 5G ultra rapide Design conçu pour durer avec Ceramic Shield et résistance à l’eau iOS 16 qui offre encore plus d’options de personnalisation et multiplie les moyens de communiquer et de partager"
"Honor X7b 6.8"" (256GB / 6GB jusqu'à 12Go ) Snapdragon 680 - 6000 mAh - 108 MP- Silver",1990.0,"Mémoire interne : 256Go Mémoire RAM : 6 Go Écran IPS LCD de 6,8″ Batterie 6000 mAh poids de 199 g"
Lbstar mini phone /Bluetooth intégrée / 2 carte sim/passer un appel,143.65,"mini phone  Il peut être utilisé comme téléphone mobile lors de l'insertion d'une carte nano SIM. Il fait la synchronisation du message par Bluetooth. Compatible avec les téléphones portables et les pads avec fonction Bluetooth intégrée. Utilisé comme un téléphone Bluetooth pour passer un appel, écouter de la musique. Facile à transporter et à utiliser, mains libres depuis un téléphone mobile et une tablette PC."
"Tecno Spark Go 2024 - 6.6"" (64GB de ROM + 3GB jusqu'à 6Go de RAM) 5000mAh / Blanc",999.0,RAM : 3GB  jusqu'à 6 Go (6.6 inch) HD+ Display 13MP Rear Camera 5000 mAh Battery Capacité de stockage: 128GB
Samsung Galaxy A15 - 4G + 128GB - Jaune,1699.0,"RAM: 4G ROM: 128GB Taille de l'écran: 6.5"" Caractéristique de la batterie: 5 000 mAh"
"Samsung Galaxy S21 FE 6,4"" 8G/256GB SM-G990ELGGMWD - Olive",4589.0,"Taille : 6.41"" Mémoire interne: 256 Go RAM: 8 Go Caméra Principale : 12.0 MP + 12.0 MP + 8.0 MP Caméra frontale : 32.0 MP Batterie : 4500 mAh"
Samsung Galaxy A14 6.6'' LTE 4+128GB 50 Mpx SILVER,1650.0,"Display : ""6.6'' FHD+ PLS LCD (1080 x 2408) V-Cut display"" Camera Rear : ""50.0 MP + 5.0 MP + 2.0 MP (Digital Zoom up to 10x"") Camera Front : 13MP Processor : MT6769 - Octa-core Memory : 4+128GB MicroSD (Up to 1TB) Battery : 5000 mAh (15W Charging). SIM Card : Dual SIM (SIM 1 + SIM 2 + MicroSD) Biometric Authentification : Side fingerprint Dimensions : 167.7 x 78.0 x 9.1 Weight : 201g Other features : Accelerometer, Fingerprint Sensor, Geomagnetic Sensor,Light Sensor,Proximity Sensor Color : Black / Light Green / Silver"
"Tecno Spark Go 2024 - 6.6"" (64GB de ROM + 3GB jusqu'à 6Go de RAM) 5000mAh - Noir",999.0,RAM : 3GB  jusqu'à 6 Go (6.6 inch) HD+ Display 13MP Rear Camera 5000 mAh Battery Capacité de stockage: 128GB
"Nokia Téléphone mobile, Dual SIM plus carte sim",229.0,"Fabriqué au Vietnam  Radio FM  Lecteur vidéo  Lecteur de musique  Lampe torche  Jeu  Carte SD jusqu'à 32 Go (non incluse)  Connecteur micro-USB  Appareil photo avec flash  Taille d'écran 2,4""  Jusqu'à 22 heures de conversation  Jusqu'à 25 jours en veille Connectivité Sans Fil: Bluetooth 3.0"
"XIAOMI REDMI NOTE 13 PRO – 6.67""-12GB+512GB – FOREST GREEN",3978.0,"Processeur : Processeur MediaTek Helio G99-Ultra Stockage et RAM : 12 Go + 512 Go Écran AMOLED 6,67"" Triple appareil photo 200 MP + 8 MP + 2 MP Batterie et charge : 5 000 mAh Système d'exploitation : MIUI 14 Réseaux sans fil : Bluetooth 5.2"
"Apple iPhone 13 128GB Bleu 6,1"" Blue 5G A15 IOS Mode Cinematique 4Gb RAM Garantie 1 an",8475.0,"Écran Super Retina XDR 6,1"" pouces Mode Cinématique, qui réduit la profondeur de champ et change automatiquement la mise au point dans vos vidéos Puce A15 Bionic pour des performances fulgurantes 5G Pour Une Connectivité Tres Rapide Technologie De Magsafe Design résistant avec Ceramic Shield"
"XIAOMI REDMI NOTE 13 PRO – 6.67""- 12GB + 512GB – LAVENDER PURPLE",3978.0,"Processeur : Processeur MediaTek Helio G99-Ultra Stockage et RAM : 12 Go + 512 Go Écran AMOLED 6,67"" Triple appareil photo 200 MP + 8 MP + 2 MP Batterie et charge : 5 000 mAh Système d'exploitation : MIUI 14 Réseaux sans fil : Bluetooth 5.2"
"Samsung Galaxy S22 Ultra - 6.8"" - 12GB + 256GB - Vert",8990.0,"Modèle Galaxy S22 Ultra Écran Dynamic AMOLED 2X, 6,8 pouces, 1440 x 3200 pixels, taux de rafraîchissement de 120 Hz, HDR10+ Processeur Exynos 2200 (pour certains marchés) ou Qualcomm Snapdragon 898 (pour d’autres marchés) Mémoire vive (RAM) 12 Go Stockage interne 256 Go Caméra arrière Quadruple capteur: 108 MP (grand angle), 12 MP (ultra grand angle), 10 MP (périscope téléobjectif), 10 MP (téléobjectif) Caméra avant 40 MP Batterie 5 000 mAh Système d’exploitation Android 13 Connectivité 5G, Wi-Fi 6, Bluetooth 5.2, NFC, USB Type-C Capteurs Empreinte digitale (sous l’écran), accéléromètre, gyroscope, boussole, baromètre Résistance à l’eau et à la poussière IP68"
"XIAOMI Redmi Note 13 Pro+ 5G - 6.67"" – 8 GB RAM – 256 GB ROM – MIDNIGHT BLACK",4668.0,"MediaTek Dimensité 7200-Ultra 8+256 Go Écran AMOLED CrystalRes de 6,67 pouces Double SIM (nano SIM + nano SIM ou nano SIM + eSIM) Appareil photo 16MP Enregistrement vidéo de la caméra frontale"
"Samsung Galaxy S22 Ultra - 6.8"" - 12GB + 256GB - Noir",8990.0,"Modèle Galaxy S22 Ultra Écran Dynamic AMOLED 2X, 6,8 pouces, 1440 x 3200 pixels, taux de rafraîchissement de 120 Hz, HDR10+ Processeur Exynos 2200 (pour certains marchés) ou Qualcomm Snapdragon 898 (pour d’autres marchés) Mémoire vive (RAM) 12 Go Stockage interne 256 Go Caméra arrière Quadruple capteur: 108 MP (grand angle), 12 MP (ultra grand angle), 10 MP (périscope téléobjectif), 10 MP (téléobjectif) Caméra avant 40 MP Batterie 5 000 mAh Système d’exploitation Android 13 Connectivité 5G, Wi-Fi 6, Bluetooth 5.2, NFC, USB Type-C Capteurs Empreinte digitale (sous l’écran), accéléromètre, gyroscope, boussole, baromètre Résistance à l’eau et à la poussière IP68"
"Apple iPhone 11 64GB Blanc 6,1"" White A13 Bionic iOS Retina HD 4GB RAM Garantie 1 an",5575.0,"Processeur A13 Bionic avec 4Gb de RAM. Capteur Face ID amélioré. Ecran LCD Liquid Retina HD de 6,1"" Double appareil photo ultra grand-angle et grand-angle 12 Mpx Caméra avant TrueDepth 12 Mpx avec mode Portrait, vidéo 4K et ralenti  "
"Honor X7b 6.8"" (256GB / 6GB jusqu'à 12Go ) - 6000 mAh - 108 MP- Midnight Black",1990.0,"Mémoire interne : 256Go Mémoire RAM : 6 Go Écran IPS LCD de 6,8″ Batterie 6000 mAh poids de 199 g"
"Samsung Galaxy A25 - 6.3"" 8GB+256GB - Noir",3099.0,"Taille : 6.3"" Résolution (Ecran principal) : 1080 x 2340 (FHD+) Technologie (Ecran principal) : Super AMOLED Résolution caméra arrière (Multiple) : 50.0 MP + 8.0 MP + 2.0 MP Résolution caméra frontale : 13.0 MP Mémoire (Go) : 8 Go Stockage (Go) : 256 Go Système d'exploitation : Android Capacité de la batterie (mAh, Typique) : 5000"
"Nokia 110 - 2.4"" - Dual Sim - Noir",489.0,"Ecran de 2,4"" : Résolution de 240 x 320 Radio FM 31 jours d'autonomie en veille, 22h en conversation 40h d'autonomie en lecture musicale Batterie 1020 mAh Dimensions : 118 x 50.2 x 13.5 pour 81 g IN339EL0D5NRNNAFAMZ"
"Nokia 105 (2019) 1.77"" (4Mo, 4Mo) Dual SIM - Noir",197.0,"Type TFT, 65K couleurs Ecran : 1.77"" SIM :Dual SIM Résolution :120 x 160 pixels RAM : 4Mo ROM : 4Mo"
