nom_du_produit,prix,taille_ecran,ram,stockage
"Samsung Galaxy A05 - 6.7"" - 4GB + 128GB - Noir",1259.0,6.7,4,128
"Samsung Galaxy A05 - 6.7"" - 4GB + 128GB - Vert clair",1259.0,6.7,4.0,128.0
"Samsung Galaxy A05 - 6.7"" - 4G + 64GB - Noir",1149.0,6.7,4.0,128.0
Infinix HOT 40I - 4+4 GB RAM + 128 GB ROM - Gold,1370.0,6.5,4,128
Samsung Galaxy A15 - 8G + 256GB - Noir,2188.0,6.5,8.0,256.0
Infinix HOT 40I - 4+4 GB RAM + 128 GB ROM - Black,1370.0,6.5,4,128
Samsung Galaxy A15 - 4G + 128GB - Noir,1699.0,6.5,4,128
"XIAOMI REDMI NOTE 13 – 6.67""- 8GB+128GB – ICE BLUE",2334.0,6.67,8,128
Infinix HOT 40I - 4+4 GB RAM + 128 GB ROM - Bleu,1370.0,6.5,4,128
"Samsung Galaxy A05 - 6.7"" - 4G + 64GB - Vert",1149.0,6.7,4,64
Samsung Galaxy A15 - 4G + 128GB - Bleu,1699.0,6.5,4,128
"XIAOMI REDMI NOTE 13 – 6.67""- 8GB+256GB - ICE BLUE",2549.0,6.67,8,256
"Samsung Galaxy M13 - 6.6"" - 4GB RAM + 128GB ROM – 50Mpx – Light Blue",1475.0,6.6,4,128
"Samsung Galaxy A05 - 6.7"" - 4G + 64GB - Silver",1149.0,6.7,4,64
"XIAOMI REDMI NOTE 13 PRO – 6.67""- 12GB + 512GB – MIDNIGHT BLACK",3978.0,6.67,12,512
"Samsung Galaxy M13 - 6.6"" - 4GB RAM + 128GB ROM – 50Mpx – Deep Green",1475.0,6.6,4,128
"Samsung A05s - 6,7"" - 6GB+128GB - Silver",1729.0,6.7,6,128
"Samsung A05s - 6,7"" - 6GB+128GB - Noir",1729.0,6.7,6,128
"Samsung A05s - 6,7"" - 6GB+128GB - Mauve",1729.0,6.7,6,128
"Infinix Note 40 pro - 6.78"" - 24GB (12+12GB) RAM + 256GB ROM - Vert",3339.0,6.78,24,256
"Samsung Galaxy M13 - 6.6"" - 4GB RAM + 128GB ROM - 50Mpx - Orange copper",1475.0,6.6,4,128
"XIAOMI REDMI NOTE 13 – 6.67""- 8GB+256GB - MINT GREEN",2549.0,6.67,8,256
"Apple iPhone 13 128GB Lumière Stellaire 6,1"" Starlight 5G A15 IOS Cinematique 4Gb RAM",7675.0,6.1,4,
Infinix HOT 40I - 8+8 GB RAM + 256 GB ROM - Bleu,1629.0,6.5,8,256
"Nokia 105 (2019) 1.77"" (4Mo, 4Mo) Dual SIM - Noir",199.0,1.77,,
"XIAOMI Redmi Note 13 Pro+ 5G - 6.67"" – 8 GB RAM – 256 GB ROM – MOONLIGHT WHITE",4805.0,6.67,8,256
"Samsung Galaxy A25 - 6.3"" 8GB+256GB - Bleu",3099.0,6.3,8,256
"Infinix Note 40 - 6.78"" - 16GB( 8+8GB) RAM + 256GB ROM - Noir",2800.0,6.78,16,256
Samsung Galaxy A15 - 8G + 256GB - Jaune,2188.0,6.5,8,256
Infinix HOT 40I - 8+8 GB RAM + 256 GB ROM - Gold,1629.0,6.5,16,256
"Apple iPhone 13 128GB Vert 6,1"" Green 5G A15 IOS Mode Cinematique 4Gb RAM Garantie 1an",8475.0,6.1,4,128
"Apple iPhone 14 128GB Mauve 6,1"" Purple A15 IOS Mode Action & SOS 6Gb RAM 4K Garantie",9475.0,6.1,6,128
"Honor X7b 6.8"" (256GB / 6GB jusqu'à 12Go ) Snapdragon 680 - 6000 mAh - 108 MP- Silver",1990.0,6.8,12,256
Lbstar mini phone /Bluetooth intégrée / 2 carte sim/passer un appel,143.65,,,
